,NO3,geometry,longitude,latitude,y_hat,error,y_cls
0,3.4,POINT (42.70470000000153 11.132499999999922),42.70470000000153,11.132499999999922,6.808581522315576,3.408581522315576,0
1,27.62,POINT (42.652500000001446 11.13519999999992),42.652500000001446,11.13519999999992,33.443809999228,5.823809999228001,2
2,2.7,POINT (42.71280000000154 11.13699999999992),42.71280000000154,11.13699999999992,10.589687327975739,7.8896873279757385,1
3,4.2,POINT (42.71100000000154 11.13789999999992),42.71100000000154,11.13789999999992,6.419860467672235,2.219860467672235,0
4,65.10000000000001,POINT (42.528300000001245 11.143299999999918),42.528300000001245,11.143299999999918,59.181321782810954,5.918678217189054,3
5,37.2,POINT (42.528300000001245 11.144199999999918),42.528300000001245,11.144199999999918,54.5435253502439,17.343525350243894,3
6,33.8,POINT (42.52740000000124 11.145099999999918),42.52740000000124,11.145099999999918,53.76796337315564,19.96796337315564,3
7,20.92,POINT (42.69570000000152 11.149599999999916),42.69570000000152,11.149599999999916,21.035256378619355,0.11525637861935323,1
8,9.23,POINT (42.71280000000154 11.149599999999916),42.71280000000154,11.149599999999916,19.679708980849558,10.449708980849557,1
9,104.16,POINT (42.4995000000012 11.16489999999991),42.4995000000012,11.16489999999991,102.06030050132081,2.099699498679186,4
10,79.6,POINT (42.50490000000121 11.16489999999991),42.50490000000121,11.16489999999991,91.17995186309543,11.579951863095431,3
11,75.8,POINT (42.504000000001206 11.16579999999991),42.504000000001206,11.16579999999991,97.54478720147469,21.744787201474693,3
12,15.37,POINT (42.59670000000136 11.16849999999991),42.59670000000136,11.16849999999991,6.41986046765286,8.950139532347139,0
13,99.2,POINT (42.5013000000012 11.171199999999908),42.5013000000012,11.171199999999908,104.95930879320024,5.759308793200233,4
14,40.77,POINT (42.56880000000131 11.180199999999903),42.56880000000131,11.180199999999903,29.26185056761283,11.508149432387174,2
15,117.8,POINT (42.61200000000138 11.1945999999999),42.61200000000138,11.1945999999999,89.84844458968013,27.95155541031987,3
16,71.0,POINT (42.61200000000138 11.1954999999999),42.61200000000138,11.1954999999999,81.68938050668432,10.689380506684316,3
17,74.55,POINT (42.47250000000116 11.202699999999895),42.47250000000116,11.202699999999895,29.91303922312596,44.636960776874034,2
18,47.3,POINT (42.43200000000109 11.206299999999896),42.43200000000109,11.206299999999896,40.87885455294885,6.4211454470511455,2
