,NO3,geometry,longitude,latitude,y_hat,error,y_cls
0,294.0,POINT (42.99990000000201 11.41959999999982),42.99990000000201,11.41959999999982,89.24732578859344,204.75267421140654,3
1,287.0,POINT (43.21140000000235 11.459199999999806),43.21140000000235,11.459199999999806,64.79103867282024,222.20896132717976,3
2,104.0,POINT (43.22040000000237 11.460099999999803),43.22040000000237,11.460099999999803,36.10971130959356,67.89028869040644,2
3,24.1,POINT (43.208700000002345 11.460999999999803),43.208700000002345,11.460999999999803,24.751169888958184,0.651169888958183,1
4,13.0,POINT (43.21050000000235 11.461899999999805),43.21050000000235,11.461899999999805,21.710833114362938,8.710833114362938,1
5,26.8,POINT (43.20420000000234 11.462799999999804),43.20420000000234,11.462799999999804,58.35715741367278,31.55715741367278,3
6,15.835,POINT (43.20510000000234 11.462799999999804),43.20510000000234,11.462799999999804,23.454126944610334,7.619126944610333,1
7,125.0,POINT (43.214100000002354 11.462799999999804),43.214100000002354,11.462799999999804,66.1790116368707,58.8209883631293,3
8,27.95,POINT (43.20060000000233 11.467299999999804),43.20060000000233,11.467299999999804,24.56960894510001,3.380391054899988,1
9,19.99,POINT (43.20150000000233 11.468199999999802),43.20150000000233,11.468199999999802,32.641456235564235,12.651456235564236,2
10,158.25,POINT (43.202400000002335 11.468199999999802),43.202400000002335,11.468199999999802,66.8401259916519,91.4098740083481,3
11,28.395,POINT (43.183500000002304 11.469099999999802),43.183500000002304,11.469099999999802,59.42730024110855,31.032300241108548,3
12,37.46,POINT (43.20150000000233 11.469099999999802),43.20150000000233,11.469099999999802,36.96495070825784,0.4950492917421627,2
13,32.31,POINT (43.21680000000236 11.469099999999802),43.21680000000236,11.469099999999802,17.746357274328872,14.56364272567113,1
14,111.25,POINT (43.18980000000232 11.4708999999998),43.18980000000232,11.4708999999998,50.31082806788002,60.93917193211998,3
15,47.7,POINT (43.15650000000226 11.4744999999998),43.15650000000226,11.4744999999998,67.5963579622428,19.896357962242803,3
16,25.82,POINT (43.18620000000231 11.480799999999798),43.18620000000231,11.480799999999798,24.074744430306385,1.7452555696936152,1
17,16.02,POINT (43.202400000002335 11.483499999999797),43.202400000002335,11.483499999999797,19.95249039741042,3.932490397410419,1
18,156.0,POINT (43.16910000000228 11.492499999999794),43.16910000000228,11.492499999999794,49.52749988370508,106.47250011629492,2
19,21.67,POINT (43.152900000002255 11.50149999999979),43.152900000002255,11.50149999999979,65.32906632766516,43.65906632766516,3
20,130.0,POINT (43.16100000000227 11.50419999999979),43.16100000000227,11.50419999999979,65.41723481525602,64.58276518474398,3
21,34.4,POINT (43.178100000002296 11.50509999999979),43.178100000002296,11.50509999999979,29.650266810053797,4.749733189946202,2
22,18.4,POINT (43.1790000000023 11.505999999999789),43.1790000000023,11.505999999999789,22.7727504388743,4.372750438874302,1
23,27.5,POINT (43.1799000000023 11.505999999999789),43.1799000000023,11.505999999999789,18.192776586016333,9.307223413983667,1
24,9.44,POINT (43.1808000000023 11.505999999999789),43.1808000000023,11.505999999999789,17.047937030754532,7.607937030754533,1
25,134.0,POINT (43.13220000000222 11.507799999999788),43.13220000000222,11.507799999999788,38.06766453154469,95.9323354684553,2
26,27.5,POINT (43.15740000000226 11.507799999999788),43.15740000000226,11.507799999999788,55.66911379382477,28.16911379382477,3
27,20.8,POINT (43.178100000002296 11.508699999999788),43.178100000002296,11.508699999999788,17.951542725162984,2.848457274837017,1
