,D,R,A,S,T,I,C,LU,D_rating_classic,D_weight_classic,R_rating_classic,R_weight_classic,A_rating_classic,A_weight_classic,S_rating_classic,S_weight_classic,T_rating_classic,T_weight_classic,I_rating_classic,I_weight_classic,C_rating_classic,C_weight_classic,LU_rating_classic,LU_weight_classic,D_rating_pdp,D_rating_pdp_var,R_rating_pdp,R_rating_pdp_var,A_rating_pdp,A_rating_pdp_var,S_rating_pdp,S_rating_pdp_var,T_rating_pdp,T_rating_pdp_var,I_rating_pdp,I_rating_pdp_var,C_rating_pdp,C_rating_pdp_var,LU_rating_pdp,LU_rating_pdp_var,D_weight_shap,D_weight_shap_var,R_weight_shap,R_weight_shap_var,A_weight_shap,A_weight_shap_var,S_weight_shap,S_weight_shap_var,T_weight_shap,T_weight_shap_var,I_weight_shap,I_weight_shap_var,C_weight_shap,C_weight_shap_var,LU_weight_shap,LU_weight_shap_var,index_classic,index_classic_std,index_shap,index_shap_std,index_hybrid,index_hybrid_std,y_log,y_hat_log,y_hat_log_std,y,y_hat,y_hat_log_lower,y_hat_log_upper,y_hat_lower,y_hat_upper,y_hat_std,vuln_class,y_class,error
0,4.978788852643081,8.794037860760472,8,6,2.9451960277139357,0.0803412741111602,5.0,60,10.0,5,1.0,4,6.0,3,5.0,2,9.0,1,5.0,5,5.0,3,2.0,5,3.8132561312159137,1.4300956441775718,6.316230217469619,1.4180635487304432,9.225056591344039,0.308330671856916,6.622140262933337,21.547837932580407,1.227704462517678,0.06189538876171886,5.1270026544361365,8.342230838878887,7.307222673807168,6.090605596630478,9.724578511394656,0.283295203999585,10.93353333777991,1.7249771104584166,9.146127382563128,1.0760847220006746,2.680050570805672,1.2570149436222207,0.010376598907664358,9.467940963701831e-05,1.6060282970061632,0.1812764644546492,2.4181079229249627,0.47984042567476,1.099479578732309,0.38205204965984807,0.10629631128019132,0.003164213085006366,141.0,0,147.69094543780935,23.594029192342706,166.86843198363675,0,2.0794415416798357,2.820443990085179,0.41924392476456895,6.999999999999998,15.784301081330351,2.4012000653206105,3.239687914849748,10.036412853066194,24.52575429528991,7.244670721111858,2,0,8.784301081330353
1,4.901051716692544,8.896001917971226,10,9,13.71767738398593,0.2213830129955803,0.1000000014901161,60,10.0,5,1.0,4,4.0,3,8.0,2,3.0,1,5.0,5,3.0,3,2.0,5,3.8075240156536236,1.4377737510411324,6.350598292532008,1.5788472900517772,9.978750801403518,0.002257642304963983,4.6,24.3000000001,5.116772357152286,3.718221527710002,4.846141987793546,7.36491791683291,5.243989313408314,11.299468208777327,9.724578511394656,0.283295203999585,10.93353333777991,1.7249771104584166,9.146127382563128,1.0760847220006746,2.680050570805672,1.2570149436222207,0.010376598907664358,9.467940963701831e-05,1.6060282970061632,0.1812764644546492,2.4181079229249627,0.47984042567476,1.099479578732309,0.38205204965984807,0.10629631128019132,0.003164213085006366,129.0,0,153.23988235166362,24.303922714894394,149.7043316992468,0,3.1441522786722644,2.725374117509103,0.43549120465533786,22.200000000000003,14.26212268624215,2.289882912853765,3.1608653221644407,8.873781520587938,22.59100091532482,6.858609697368441,2,1,7.937877313757852
2,4.9433632468085,8.808302399611065,8,6,5.009000149800331,0.0809170077829796,5.0,60,10.0,5,1.0,4,6.0,3,5.0,2,9.0,1,5.0,5,5.0,3,2.0,5,3.810643947681944,1.433594635798222,6.321038232718897,1.4405568271205074,9.225056591344039,0.308330671856916,6.622140262933337,21.547837932580407,8.343936991831352,1.5926147481583965,5.12605358118677,8.340536654942184,7.307222673807168,6.090605596630478,9.724578511394656,0.283295203999585,10.93353333777991,1.7249771104584166,9.146127382563128,1.0760847220006746,2.680050570805672,1.2570149436222207,0.010376598907664358,9.467940963701831e-05,1.6060282970061632,0.1812764644546492,2.4181079229249627,0.47984042567476,1.099479578732309,0.38205204965984807,0.10629631128019132,0.003164213085006366,141.0,0,159.13293561059325,23.98520878152948,166.86843198363675,0,2.048982334195127,3.093312536920754,0.39471211449042154,6.759999999999999,21.049998567365222,2.6986004224303324,3.488024651411176,13.858920952650077,31.72124795401745,8.931163500683686,2,0,14.289998567365224
3,5.696908691287565,9.195132358174725,10,9,9.860970822836396,0.230734779980845,0.1000000014901161,20,10.0,5,1.0,4,4.0,3,8.0,2,5.0,1,5.0,5,3.0,3,4.0,5,3.8662082480176254,1.3591668558380638,7.076651435918919,2.2603174864128484,9.978750801403518,0.002257642304963983,4.6,24.3000000001,7.400364495769541,2.7042668200397637,4.846141987793546,7.36491791683291,5.243989313408314,11.299468208777327,1.0,1e-10,10.93353333777991,1.7249771104584166,9.146127382563128,1.0760847220006746,2.680050570805672,1.2570149436222207,0.010376598907664358,9.467940963701831e-05,1.6060282970061632,0.1812764644546492,2.4181079229249627,0.47984042567476,1.099479578732309,0.38205204965984807,0.10629631128019132,0.003164213085006366,141.0,0,163.26220597874902,25.530851779401925,153.1289809158195,0,2.979094632400968,3.69489308566022,0.5496911755612914,18.670000000000005,39.24126998915818,3.1452019100989284,4.244584261221512,22.224364233594347,68.72676599680167,23.251200881603665,2,1,20.57126998915817
4,6.735549642018227,9.160445873853996,10,6,9.86763175372154,0.0593868036012635,0.1000000014901161,60,10.0,5,1.0,4,4.0,3,5.0,2,5.0,1,5.0,5,3.0,3,2.0,5,3.942794681059142,1.2565801562501813,6.991930993238059,2.128865323781645,9.978750801403518,0.002257642304963983,6.622140262933337,21.547837932580407,7.393752040447286,2.7108831127867097,5.429354712169067,8.945369136105242,5.243989313408314,11.299468208777327,9.724578511394656,0.283295203999585,10.93353333777991,1.7249771104584166,9.146127382563128,1.0760847220006746,2.680050570805672,1.2570149436222207,0.010376598907664358,9.467940963701831e-05,1.6060282970061632,0.1812764644546492,2.4181079229249627,0.47984042567476,1.099479578732309,0.38205204965984807,0.10629631128019132,0.003164213085006366,125.0,0,165.6727273078458,25.312667973655667,152.88525849653612,0,3.8262472284067424,3.61849030341106,0.3405579667410912,44.89000000000001,36.28124195145881,3.2779323366699686,3.959048270152151,25.52087971885383,51.40742449637264,12.943272388759405,2,2,8.608758048541198
5,7.437850666367243,9.19954406563514,10,9,5.866105305623906,0.1848707309505208,0.1000000014901161,60,9.0,5,1.0,4,4.0,3,8.0,2,9.0,1,5.0,5,3.0,3,2.0,5,3.9945803634342276,1.1872137942225032,7.085630698015331,2.2798430630317,9.978750801403518,0.002257642304963983,4.6,24.3000000001,9.331890748564193,1.3329490779926247,4.846346439712286,7.364932781614182,5.243989313408314,11.299468208777327,9.724578511394656,0.283295203999585,10.93353333777991,1.7249771104584166,9.146127382563128,1.0760847220006746,2.680050570805672,1.2570149436222207,0.010376598907664358,9.467940963701831e-05,1.6060282970061632,0.1812764644546492,2.4181079229249627,0.47984042567476,1.099479578732309,0.38205204965984807,0.10629631128019132,0.003164213085006366,130.0,0,168.77786297567167,25.246811536701134,148.4069681435039,0,3.182834053520935,3.834773415053487,0.3213115405565268,23.114999999999995,45.282939462398005,3.51346187449696,4.156084955610014,32.56426215228117,62.82117013510492,15.128453991411877,3,1,22.16793946239801
6,6.809015271813541,9.11280830503166,10,6,7.891843523545619,0.1361163456795489,0.1000000014901161,60,10.0,5,1.0,4,4.0,3,5.0,2,5.0,1,5.0,5,3.0,3,2.0,5,3.948211827892428,1.2493239465960706,6.8305210270347505,2.0187315318771257,9.978750801403518,0.002257642304963983,6.622140262933337,21.547837932580407,9.125563215929706,0.9147212551076218,5.171100516807975,7.716183444688319,5.243989313408314,11.299468208777327,9.724578511394656,0.283295203999585,10.93353333777991,1.7249771104584166,9.146127382563128,1.0760847220006746,2.680050570805672,1.2570149436222207,0.010376598907664358,9.467940963701831e-05,1.6060282970061632,0.1812764644546492,2.4181079229249627,0.47984042567476,1.099479578732309,0.38205204965984807,0.10629631128019132,0.003164213085006366,125.0,0,166.41253098859752,24.90734690242837,152.88525849653612,0,4.621240366165586,3.302436906017711,0.23383816867004148,100.62000000000002,26.178790443384774,3.0685987373476693,3.5362750746877523,20.511737950610442,33.338771309942516,6.413516679666037,3,4,74.44120955661525
7,6.427198671294583,9.152827053696894,10,6,7.435181594264094,0.0622360577315523,0.1000000014901161,20,10.0,5,1.0,4,4.0,3,5.0,2,5.0,1,5.0,5,3.0,3,4.0,5,3.9200577564693693,1.2870360210791247,6.966116210190392,2.1112512940466344,9.978750801403518,0.002257642304963983,6.622140262933337,21.547837932580407,9.44650152138954,0.5570677373077347,5.38965563986931,9.077905712179579,5.243989313408314,11.299468208777327,1.0,1e-10,10.93353333777991,1.7249771104584166,9.146127382563128,1.0760847220006746,2.680050570805672,1.2570149436222207,0.010376598907664358,9.467940963701831e-05,1.6060282970061632,0.1812764644546492,2.4181079229249627,0.47984042567476,1.099479578732309,0.38205204965984807,0.10629631128019132,0.003164213085006366,135.0,0,167.46141368929926,25.361054461445438,153.0978511190965,0,2.50470927708418,3.8295000261320205,0.33903011459927823,11.240000000000002,45.03951392506063,3.490469911532742,4.168530140731299,31.801357821582823,63.6203993744784,15.90952077644779,3,1,33.79951392506063
8,6.959990633362227,9.059116495412487,10,9,5.146453027671129,0.2155192528069898,0.1000000014901161,60,10.0,5,1.0,4,4.0,3,8.0,2,9.0,1,5.0,5,3.0,3,2.0,5,3.9593443221485356,1.2344120908200478,6.648597528622265,1.8946008775687908,9.978750801403518,0.002257642304963983,4.6,24.3000000001,8.51548334638721,1.5560802326314418,4.846141987793546,7.36491791683291,5.243989313408314,11.299468208777327,9.724578511394656,0.283295203999585,10.93353333777991,1.7249771104584166,9.146127382563128,1.0760847220006746,2.680050570805672,1.2570149436222207,0.010376598907664358,9.467940963701831e-05,1.6060282970061632,0.1812764644546492,2.4181079229249627,0.47984042567476,1.099479578732309,0.38205204965984807,0.10629631128019132,0.003164213085006366,135.0,0,163.0837797293228,24.5317803669809,159.34050148128378,0,3.202746442938317,3.5266017404502508,0.26969571552643634,23.599999999999998,33.00820232758491,3.2569060249238144,3.796297455976687,24.969065077329677,43.53598241253579,9.283458667603055,2,1,9.408202327584913
9,7.28782002723361,9.19609806492741,10,6,6.572958976630455,0.1145641903580192,0.1000000014901161,20,9.0,5,1.0,4,4.0,3,5.0,2,5.0,1,5.0,5,3.0,3,4.0,5,3.9835175303251527,1.2020323396447232,7.078616963805445,2.2645915642750127,9.978750801403518,0.002257642304963983,6.622140262933337,21.547837932580407,9.463048631742012,0.8524543586822404,5.189435003433173,7.754326814656252,5.243989313408314,11.299468208777327,1.0,1e-10,10.93353333777991,1.7249771104584166,9.146127382563128,1.0760847220006746,2.680050570805672,1.2570149436222207,0.010376598907664358,9.467940963701831e-05,1.6060282970061632,0.1812764644546492,2.4181079229249627,0.47984042567476,1.099479578732309,0.38205204965984807,0.10629631128019132,0.003164213085006366,130.0,0,168.72661948571755,25.30764939729452,142.1643177813166,0,3.632309102625542,3.8352162828535823,0.3445961029905704,36.800000000000004,45.30344122542992,3.490620179863012,4.179812385844153,31.806287197208498,64.35359080497469,16.273651803883094,3,2,8.503441225429917
